Facility,Address,Postcode,Suburb,Location,Latitude,Longitude,URL
Ainslie Arts Centre,"Elouera Street, BRADDON ACT 2612
",2612,braddon,"(-35.281745999999998, 149.122345)",-35.2817459999999,149.1223450000000,http://www.arts.act.gov.au/our-arts-facilities/ainslie-arts-centre
Belconnen Arts Centre,"118 Emu Bank, BELCONNEN ACT 2617





",2617,belconnen,"(-35.235804999999999, 149.06816499999999)",-35.2358049999999,149.0681649999990,http://www.arts.act.gov.au/our-arts-facilities/belconnen-arts-centre
Canberra Contemporary Art Space,"19 Furneaux Street, FORREST ACT 2603


",2603,forrest,"(-35.319800000000001, 149.13140100000001)",-35.3198000000000,149.1314010000000,http://www.arts.act.gov.au/our-arts-facilities/canberra-contemporary-art-space
Canberra Glassworks,"11 Wentworth Avenue, Kingston ACT 2604


, ",2604,kingston,"(-35.311518, 149.14399599999999)",-35.3115180000000,149.1439959999990,http://www.arts.act.gov.au/our-arts-facilities/canberra-glassworks
Canberra Glassworks Chapel,"11 Wentworth Avenue, Kingston ACT 2604 ",2604,kingston,"(-35.310957999999999, 149.142966)",-35.3109579999999,149.1429660000000,http://www.arts.act.gov.au/our-arts-facilities/canberra-glassworks-chapel
Gorman House Arts Centre,"Ainslie Avenue, BRADDON ACT 2612



",2612,braddon,"(-35.277752, 149.13777400000001)",-35.2777520000000,149.1377740000000,http://www.arts.act.gov.au/our-arts-facilities/gorman-house-arts-centre
Manuka Arts Centre,"Corner of NSW Crescent and Manuka Circle, GRIFFITH ACT 2603



",2603,griffith,"(-35.316561, 149.13512299999999)",-35.3165610000000,149.1351229999990,http://www.arts.act.gov.au/our-arts-facilities/manuka-arts-centre
Strathnairn,"90 Stockdill Drive, BELCONNEN ACT 2615

",2615,belconnen,"(-35.232360999999997, 148.99447900000001)",-35.2323609999999,148.9944790000000,http://www.arts.act.gov.au/our-arts-facilities/strathnairn
The Street Theatre,"Corner of Childers Street and University Avenue, ACTON ACT 2601

",2601,acton,"(-35.27861, 149.123762)",-35.2786100000000,149.1237620000000,http://www.arts.act.gov.au/our-arts-facilities/the-street-theatre
Tuggeranong Arts Centre,"137 Reed Street, GREENWAY ACT 2901

",2901,greenway,"(-35.416125000000001, 149.070697)",-35.4161250000000,149.0706970000000,http://www.arts.act.gov.au/our-arts-facilities/tuggeranong-arts-centre
Watson Arts Centre,"1 Aspinall Street, WATSON ACT 2602

",2602,watson,"(-35.230756999999997, 149.15536900000001)",-35.2307569999999,149.1553690000000,http://www.arts.act.gov.au/our-arts-facilities/watson-arts-centre
