District,Authorised inspection station,Address,Suburb,Telephone,Latitude,Longitude,Location
Belconnen,Belconnen Exhaust Centre,"16 Weedon Close, Belconnen",belconnen,6251 6280,-35.240998,149.062447,"(-35.240997999999998, 149.06244699999999)"
Belconnen,Bridgestone Tyre Centre Belconnen,"31 Cohen Street, Belconnen",belconnen,6251 2999,-35.239255,149.061763,"(-35.239255, 149.06176300000001)"
Belconnen,Gerald Slaven Holden,"2 Josephson Street, Belconnen",belconnen,6251 5111,-35.242684,149.062007,"(-35.242683999999997, 149.06200699999999)"
Belconnen,Harry's Auto Care,"Jolly Street, Belconnen",belconnen,6251 7333,-35.24075,149.060181,"(-35.240749999999998, 149.060181)"
Belconnen,Holt Service Centre,"1 Hardwick Crescent, Holt",holt,6254 8030,-35.223975,149.02114,"(-35.223975000000003, 149.02114)"
Belconnen,Kmart Tyre & Auto,"Belconnen Town Centre, Cohen Street, Belconnen",belconnen,6251 4777,-35.239664,149.06499,"(-35.239663999999998, 149.06498999999999)"
Belconnen,Kmart Tyre & Auto - Hawker,"20 Springvale Drive, Hawker",hawker,6255 3086,-35.244344,149.044616,"(-35.244343999999998, 149.04461599999999)"
Belconnen,Kmart Tyre & Auto Service Westfield,"Enter off Luxton Street, Westfield Belconnen",belconnen,6251 3891,-35.23669,149.065158,"(-35.236690000000003, 149.065158)"
Belconnen,MacGregor Auto Service,"103 Osburn Drive, Macgregor",macgregor,6254 3412,-35.210566,149.011837,"(-35.210566, 149.01183700000001)"
Belconnen,Mechanical Care,"3 Park Street, Belconnen",belconnen,6251 4883,-35.242807,149.060602,"(-35.242806999999999, 149.06060199999999)"
Belconnen,Northside Automotive,"Corner of Atalumba Close & Canopus Crescent, Giralang",giralang,6241 1311,-35.213463,149.09642,"(-35.213462999999997, 149.09641999999999)"
Belconnen,Pro Motive,"Unit 1, 2 Park Street, Belconnen",belconnen,6253 3322,-35.24294,149.060662,"(-35.242939999999997, 149.06066200000001)"
Belconnen,Rolfe Mitsubishi and Mazda,"20 Josephson Street, Belconnen",belconnen,6251 3911,-35.24087,149.061822,"(-35.240870000000001, 149.06182200000001)"
Belconnen,The Car Doctor,"8/55 Nettlefold Street, Belconnen",belconnen,6251 3891,-35.243436,149.060191,"(-35.243436000000003, 149.060191)"
Belconnen,The Garage on Wignall,"7 Wignall Place, Belconnen",belconnen,6253 4848,-35.242416,149.063921,"(-35.242415999999999, 149.06392099999999)"
