ID,DIVISION,Postcode,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Drfn240,Acton,2601,Black Mountain Peninsula District Park,,,-35.286323,149.101427,"(-35.286323, 149.101427)"
Drfn62,Acton,2601,Black Mountain Peninsula District Park,,,-35.292273,149.101002,"(-35.292273, 149.101002)"
Drfn65,Acton,2601,Black Mountain Peninsula District Park,,,-35.288357,149.100244,"(-35.288357, 149.100244)"
Drfn64,Acton,2601,Black Mountain Peninsula District Park,,,-35.289413,149.099886,"(-35.289413, 149.099886)"
Drfn59,Acton,2601,Black Mountain Peninsula District Park,,,-35.291521,149.100124,"(-35.291521, 149.100124)"
Drfn60,Acton,2601,Black Mountain Peninsula District Park,,,-35.293533,149.100313,"(-35.293533, 149.100313)"
Drfn61,Acton,2601,Black Mountain Peninsula District Park,,,-35.292841,149.101003,"(-35.292841, 149.101003)"
Drfn63,Acton,2601,Black Mountain Peninsula District Park,,,-35.291518,149.100146,"(-35.291518, 149.100146)"
Drfn194,Amaroo,2914,Diamond Street Pedestrian Parkland,,,-35.17412,149.13556,"(-35.17412, 149.13556)"
Drfn212,Amaroo,2914,Barrington Crescent Pedestrian Parkland,,,-35.175021,149.128942,"(-35.175021, 149.128942)"
Drfn244,Amaroo,2914,Diamond Street Pedestrian Parkland,,,-35.172776,149.137983,"(-35.172776, 149.137983)"
Drfn125,Barton,2600,Telopea Park,,,-35.31557,149.137127,"(-35.31557, 149.137127)"
Drfn242,Barton,2600,Grevillea Park,,,-35.304195,149.149917,"(-35.304195, 149.149917)"
Drfn215,Belconnen,2616,John Knight Memorial Park,,,-35.236056,149.074021,"(-35.236056, 149.074021)"
Drfn254,Belconnen,2616,Diddams Close Pedestrian Parkland,,,-35.229005,149.073678,"(-35.229005, 149.073678)"
Drfn258,Belconnen,2616,Ginninderra Peninsula District Park,,,-35.224547,149.069189,"(-35.224547, 149.069189)"
Drfn141,Belconnen,2616,John Knight Memorial Park,,,-35.235843,149.074653,"(-35.235843, 149.074653)"
Drfn140,Belconnen,2616,Ginninderra Peninsula District Park,,,-35.226024,149.06937,"(-35.226024, 149.06937)"
Drfn207,Belconnen,2616,Diddams Close Pedestrian Parkland - Dog Park,,,-35.228447,149.073841,"(-35.228447, 149.073841)"
Drfn139,Belconnen,2616,Joynton Smith Drive Pedestrian Parkland,,,-35.227845,149.063213,"(-35.227845, 149.063213)"
Drfn262,Bonner,2914,Don Bell Street Neighbourhood Park,,,-35.155814,149.13964,"(-35.155814, 149.13964)"
Drfn263,Bonner,2914,Fernando Street Pedestrian Parkland,,,-35.161206,149.136355,"(-35.161206, 149.136355)"
Drfn256,Calwell,2905,Calwell Shopping Centre,,,-35.434554,149.113673,"(-35.434554, 149.113673)"
Drfn183,Campbell,2612,Rememberance Park,,,-35.279504,149.151231,"(-35.279504, 149.151231)"
Drfn184,Campbell,2612,Rememberance Park,,,-35.279976,149.150974,"(-35.279976, 149.150974)"
Drfn230,Casey,2913,Casey Dogpark,,,-35.167285,149.098472,"(-35.167285, 149.098472)"
Drfn268,Chapman,2611,Chapman Shopping Centre,,,-35.355582,149.040707,"(-35.355582, 149.040707)"
Drfn223,Canberra,2600,Civic Square,,,-35.281448,149.130707,"(-35.281448, 149.130707)"
Drfn177,Canberra,2600,Glebe Park,,,-35.281049,149.135874,"(-35.281049, 149.135874)"
Drfn201,Canberra,2600,Glebe Park,,,-35.283489,149.136337,"(-35.283489, 149.136337)"
Drfn146,Canberra,2600,Hobart Place,,,-35.279743,149.126436,"(-35.279743, 149.126436)"
Drfn226,Canberra,2600,West Row Pedestrian Parkland,,,-35.279282,149.127225,"(-35.279282, 149.127225)"
Drfn251,Canberra,2600,London Circuit Road Verge,,,-35.28224,149.132171,"(-35.28224, 149.132171)"
Drfn237,Crace,2911,Hilltop Reserve Park Pedestrian Parkland,,,-35.202575,149.109475,"(-35.202575, 149.109475)"
Drfn234,Crace,2911,Yinnar Street Pedestrian Parkland,,,-35.203233,149.099211,"(-35.203233, 149.099211)"
Drfn238,Crace,2911,Hilltop Reserve Park Pedestrian Parkland,,,-35.202084,149.10935,"(-35.202084, 149.10935)"
Drfn236,Crace,2911,Hilltop Reserve Neighbourhood Park,,,-35.202304,149.112106,"(-35.202304, 149.112106)"
Drfn233,Crace,2911,Medhurst Crescent Neighbourhood Park,,,-35.197411,149.107279,"(-35.197411, 149.107279)"
Drfn178,Curtin,2605,Curtin Shopping Centre,,,-35.325348,149.082596,"(-35.325348, 149.082596)"
Drfn127,Deakin,2600,Deakin Shopping Centre,,,-35.314665,149.107855,"(-35.314665, 149.107855)"
Drfn196,Deakin,2600,Hannah Place - Pedestrian Parkland,,,-35.314043,149.104746,"(-35.314043, 149.104746)"
Drfn47,Dickson,2602,Dickson Shopping Centre,,,-35.249855,149.139125,"(-35.249855, 149.139125)"
Drfn43,Downer,2602,Bonython Street - Road Verge,,,-35.246948,149.143837,"(-35.246948, 149.143837)"
Drfn32,Duffy,2611,Duffy Place - Road Verge,,,-35.336647,149.0328,"(-35.336647, 149.0328)"
Drfn77,Evatt,2617,Read Place Pedestrian Parkland,,,-35.217959,149.067087,"(-35.217959, 149.067087)"
Drfn188,Fadden,2904,Faddon Pines District Park,,,-35.411649,149.120763,"(-35.411649, 149.120763)"
Drfn187,Fadden,2904,Fadden Pines District Park,,,-35.410371,149.120116,"(-35.410371, 149.120116)"
Drfn249,Farrer,2607,Farrer Shopping Centre,,,-35.375089,149.101414,"(-35.375089, 149.101414)"
Drfn239,Forde,2914,Volpato Street Neighbourhood Park,,,-35.160469,149.149012,"(-35.160469, 149.149012)"
Drfn228,Forde,2914,Tom Nicholas Crescent Pedestrian Parkland,,,-35.172354,149.144998,"(-35.172354, 149.144998)"
Drfn225,Forde,2914,Ray Ellis Crescent Town Park,,,-35.171822,149.14207,"(-35.171822, 149.14207)"
Drfn208,Garran,2605,Garran Shopping Centre,,,-35.342536,149.108354,"(-35.342536, 149.108354)"
Drfn186,Gordon,2906,Jim Pike Pedestrian Parkland,,,-35.463097,149.08105,"(-35.463097, 149.08105)"
Drfn172,Gordon,2906,Point Hut District Park,,,-35.455948,149.084371,"(-35.455948, 149.084371)"
Drfn168,Gowrie,2904,Wray Place - Neighbourhood Park,,,-35.407111,149.110985,"(-35.407111, 149.110985)"
Drfn193,Greenway,2900,Lake Tuggeranong District Park,,,-35.408411,149.069807,"(-35.408411, 149.069807)"
Drfn206,Greenway,2900,Lake Tuggeranong District Park - Dog Park,,,-35.41122,149.071987,"(-35.41122, 149.071987)"
Drfn189,Greenway,2900,Tuggeranong Town Park,,,-35.410768,149.064759,"(-35.410768, 149.064759)"
Drfn191,Greenway,2900,Lake Tuggeranong District Park,,,-35.405203,149.071513,"(-35.405203, 149.071513)"
Drfn216,Greenway,2900,Lake Tuggeranong District Park,,,-35.402842,149.071542,"(-35.402842, 149.071542)"
Drfn190,Greenway,2900,Tuggeranong Town Park,,,-35.409912,149.064475,"(-35.409912, 149.064475)"
Drfn243,Greenway,2900,Reed Street North  Road Verge,,,-35.416443,149.071647,"(-35.416443, 149.071647)"
Drfn192,Greenway,2900,Lake Tuggeranong District Park,,,-35.407251,149.070566,"(-35.407251, 149.070566)"
Drfn153,Gungahlin,2912,Yerrabi District Park,,,-35.178965,149.131005,"(-35.178965, 149.131005)"
Drfn154,Gungahlin,2912,Yerrabi District Park,,,-35.180016,149.129653,"(-35.180016, 149.129653)"
Drfn211,Gungahlin,2912,Yerrabi Pond District Park,,,-35.175079,149.136024,"(-35.175079, 149.136024)"
Drfn250,Gungahlin,2912,Gozzard Street Town Park,,,-35.185458,149.131462,"(-35.185458, 149.131462)"
Drfn259,Gungahlin,2912,Yerrabi District Park,,,-35.17918,149.130323,"(-35.17918, 149.130323)"
Drfn90,Higgins,2615,Higgins Shopping Centre,,,-35.231366,149.027017,"(-35.231366, 149.027017)"
Drfn93,Holt,2615,Holt Shopping Centre,,,-35.224621,149.011627,"(-35.224621, 149.011627)"
Drfn248,Jacka,2914,Appleford Av Pedestrian Parkland,,,-35.15993,149.128659,"(-35.15993, 149.128659)"
Drfn195,Kaleen,2617,Kaleen Shopping Centre (Gwydir Sq),,,-35.234179,149.103303,"(-35.234179, 149.103303)"
Drfn200,Kambah,2902,Kambah Village,,,-35.380113,149.058032,"(-35.380113, 149.058032)"
Drfn162,Kambah,2902,Kambah District Park,,,-35.391977,149.063256,"(-35.391977, 149.063256)"
Drfn266,Kingston,2604,Norgrove Neighbourhood Park,,,-35.316014,149.146927,"(-35.316014, 149.146927)"
Drfn235,Lyons,2606,Lyons Shopping Centre,,,-35.339391,149.076481,"(-35.339391, 149.076481)"
