Region,Income Total,Households,Average Weekly Income
ACT - South West," 367,784.00 ",132," 2,786.24 "
Acton, -   ,0, -   
Ainslie," 4,335,177.50 ",1781," 2,434.13 "
Amaroo," 4,349,604.50 ",1654," 2,629.75 "
Aranda," 2,091,051.00 ",768," 2,722.72 "
Arboretum, -   ,0, -   
Banks," 3,507,765.00 ",1541," 2,276.29 "
Barton," 1,876,564.00 ",684," 2,743.51 "
Belconnen," 4,620,981.00 ",2600," 1,777.30 "
Black Mountain, -   ,0, -   
Bonner," 4,655,314.00 ",1832," 2,541.11 "
Bonython," 2,884,252.50 ",1314," 2,195.02 "
Braddon," 4,905,601.00 ",2279," 2,152.52 "
Bruce," 5,002,217.50 ",2222," 2,251.22 "
Calwell," 4,354,714.00 ",1792," 2,430.09 "
Campbell," 3,037,192.50 ",1087," 2,794.11 "
Canberra Airport," 71,857.50 ",35," 2,053.07 "
Canberra East," 440,813.50 ",381," 1,156.99 "
Casey," 4,623,274.00 ",1872," 2,469.70 "
Chapman," 2,497,098.00 ",818," 3,052.69 "
Charnwood," 1,736,246.50 ",1025," 1,693.90 "
Chifley," 1,986,029.50 ",909," 2,184.85 "
Chisholm," 3,608,131.00 ",1610," 2,241.08 "
Civic," 2,779,474.50 ",1114," 2,495.04 "
Conder," 3,623,056.00 ",1514," 2,393.04 "
Cook," 2,409,192.00 ",1090," 2,210.27 "
Coombs," 1,466,913.50 ",579," 2,533.53 "
Crace," 3,796,309.50 ",1395," 2,721.37 "
Curtin," 4,605,122.50 ",1737," 2,651.19 "
Deakin," 3,029,759.50 ",1003," 3,020.70 "
Denman Prospect, -   ,0, -   
Dickson," 1,649,175.00 ",814," 2,026.01 "
Downer," 2,725,108.50 ",1251," 2,178.34 "
Duffy," 2,401,455.00 ",1013," 2,370.64 "
Dunlop," 5,101,916.00 ",2137," 2,387.42 "
Duntroon," 299,947.00 ",106," 2,829.69 "
Evatt," 3,858,485.00 ",1701," 2,268.36 "
Fadden," 2,756,921.50 ",922," 2,990.15 "
Farrer," 2,794,651.50 ",1058," 2,641.45 "
Fisher," 2,327,809.00 ",1043," 2,231.84 "
Florey," 3,311,278.00 ",1627," 2,035.20 "
