"INCP_2016","Total Personal Income - weekly","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","LGA_2016","Region","TIME","Census year","Value","Flag Codes","Flags"
"TOT","Total","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",1611,,
"TOT","Total","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",1635,,
"TOT","Total","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",3248,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",10,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",3,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",15,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","3","Persons","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",3,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",5,,
