Project Name,Directorate,Project  Estimated Completion Date,Project Classification,Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Project Type,Government Priority,Region ,2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),Total Budgeted Financing ($'000),2016-17 Re-profiling ($'000) ,2017-18 Re-profiling ($'000) ,2018-19 Re-profiling ($'000) ,2019-20 Re-profiling ($'000) ,2020-21 Re-profiling ($'000) ,2015-16Section 16(b) Rollovers of unspent funds ($'000),2016-17 Variations ($'000),2016-17 Savings returned to Budget ($'000) ,Total Financing 2016-17 ($'000),Budget
2017–18 Better Infrastructure Fund ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,7418,7603,7794,7988,30803,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Transport Canberra and City Services Directorate,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,20639,21155,21684,22226,85704,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Prior Year Better Infrastructure Fund,Canberra Institute of Technology,30 September 2017,Works-in-progress,BIF ,Education,Better schools for our kids,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,2487,ACT Budget 2017-18
Aboriginal Torres Strait Islander Residential Alcohol and Other Drug Rehabilitation Facility,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,1700,0,0,0,1700,-1700,1700,0,0,0,963,0,0,1443,ACT Budget 2017-18
Accommodation – Staff Relocation,Office of the Legislative Assembly,30 June 2016,Works-in-progress,Construction,Economic Growth,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,41,0,0,41,ACT Budget 2017-18
Ainslie Music Hub,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,4,0,-4,0,ACT Budget 2017-18
ACT Corrective Services – Accommodation fit out,Justice and Community Safety Directorate,30 June 2016,Works-in-progress,Construction,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,ACT Budget 2017-18
ACT Corrective Services – Information management,Justice and Community Safety Directorate,30 June 2018,Works-in-progress,ICT,Community Services,Better support when it matters,Whole of Canberra,3467,0,0,0,3467,-1350,1350,0,0,0,40,0,0,1772,ACT Budget 2017-18
ACT Corrective Services – Information management solution,Justice and Community Safety Directorate,30 June 2018,Works-in-progress,ICT,Community Services,Better support when it matters,Whole of Canberra,2226,0,0,0,2226,0,0,0,0,0,0,0,0,74,ACT Budget 2017-18
ACT Legislation Register Replacement,Justice and Community Safety Directorate,30 June 2019,Works-in-progress,ICT,Community Services,Better support when it matters,Canberra Central,1400,474,0,0,1874,-1400,926,474,0,0,395,0,0,1434,ACT Budget 2017-18
ACT Teacher Quality Institute – Digital Service Delivery Phase 2,Education Directorate,30 June 2019,Works-in-progress,ICT,Education,Better schools for our kids,Belconnen,139,79,0,0,218,0,0,0,0,0,0,0,0,198,ACT Budget 2017-18
ACT Travel Time Information,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,120,0,0,413,ACT Budget 2017-18
ACTION – Bus Replacement Program,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Public Transport and Active Travel,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,1171,0,0,6890,ACT Budget 2017-18
ACTION – Replace Underground Storage Tanks,Transport Canberra and City Services Directorate,31 May 2017,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,267,0,0,267,ACT Budget 2017-18
Australia Forum – Investment ready,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,243,0,-243,0,ACT Budget 2017-18
Belconnen Arts Centre Stage 2 (Early Planning and Forward Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Design,Urban Infrastructure,More and better jobs,Belconnen,0,0,0,0,0,0,0,0,0,0,27,0,0,3,ACT Budget 2017-18
Better Public Housing – New Public Housing Properties,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,-26000,26000,0,0,0,-48104,0,0,81879,ACT Budget 2017-18
Better Roads for Gungahlin – Enhanced Town Centre road network,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Urban Roads,Building a better city,Gungahlin,624,0,0,0,624,-624,624,0,0,0,824,0,0,4400,ACT Budget 2017-18
Better Roads for Gungahlin – Gungahlin town centre road network improvements,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Urban Roads,Building a better city,Gungahlin,1944,2500,0,0,4444,-4444,1944,2500,0,0,0,0,0,56,ACT Budget 2017-18
Better Roads for Gungahlin – Horse Park Drive duplication,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Major Roads,Building a better city,Gungahlin,2945,3000,0,0,5945,-2145,-855,3000,0,0,477,0,0,8332,ACT Budget 2017-18
Carbon Neutral Schools – Stage 1 ,Education Directorate,30 June 2017,Works-in-progress,Construction,Education,Better schools for our kids,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,219,0,0,213,ACT Budget 2017-18
