"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"80000010000","89399","Unincorporated ACT","8","Australian Capital Territory",0.667942
"80000020000","89399","Unincorporated ACT","8","Australian Capital Territory",5.84055
"80000030000","89399","Unincorporated ACT","8","Australian Capital Territory",0.316789
"80000040000","89399","Unincorporated ACT","8","Australian Capital Territory",0.15112
"80000051000","89399","Unincorporated ACT","8","Australian Capital Territory",1.42696
"80000052000","89399","Unincorporated ACT","8","Australian Capital Territory",0.136856
"80000060000","89399","Unincorporated ACT","8","Australian Capital Territory",0.46184
"80000070000","89399","Unincorporated ACT","8","Australian Capital Territory",2.32641
"80000080000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0391389
"80000090000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0399376
"80000100000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00554245
"80000110000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0446079
"80000130000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0374618
"80000140000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0205142
"80000150000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0379266
"80000160000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0371425
"80000170000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0281898
"80000180000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0302939
"80000190000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0511286
"80000200000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0075148
"80000210000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00526168
"80000220000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00506588
"80000230000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0490593
"80000240000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0404525
"80000250000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0230297
"80000260000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0386672
"80000270000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00898573
"80000280000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0251112
"80000290000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0511158
"80000300000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0464688
"80000310000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0391328
"80000320000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0224413
"80000330000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0232354
"80000340000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0873479
"80000350000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0356369
"80000360000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00662989
"80000370000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00721856
"80000380000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00205573
"80000390000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0107531
"80000400000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00252981
"80000410000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0344808
"80000421000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0257911
"80000422000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0331765
"80000430000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0452774
"80000440000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0434806
"80000450000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0406633
"80000460000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0341836
"80000470000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0292845
"80000480000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0491436
"80000490000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0390261
"80000500000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0322034
"80000510000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0442829
"80000520000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0269828
"80000530000","89399","Unincorporated ACT","8","Australian Capital Territory",0.013149
"80000540000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0508813
"80000550000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0360044
"80000560000","89399","Unincorporated ACT","8","Australian Capital Territory",0.034241
"80000570000","89399","Unincorporated ACT","8","Australian Capital Territory",0.334209
"80000580000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0419378
"80000590000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0502892
"80000600000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0322557
"80000610000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0362089
"80000620000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0469726
"80000630000","89399","Unincorporated ACT","8","Australian Capital Territory",0.04462
"80000640000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0371384
"80000650000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0490892
"80000660000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0894111
"80000670000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0435552
"80000680000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0340051
"80000690000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0345174
"80000700000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0496466
"80000720000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0456983
"80000730000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0898119
"80000740000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0673308
"80000750000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0353075
"80000760000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0754525
"80000770000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0529121
"80000780000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0646286
"80000790000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0614049
"80000800000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0538341
"80000810000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0705728
"80000820000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0290452
"80000840000","89399","Unincorporated ACT","8","Australian Capital Territory",0.133293
"80000850000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0302558
"80000860000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0288294
"80000870000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0313592
"80000880000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0276168
"80000890000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0221228
"80000900000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0216961
"80000910000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0263454
"80000920000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0332761
"80000930000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0380289
"80000940000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0201135
"80000950000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0311459
