CAMERA TYPE,CAMERA LOCATION CODE,LOCATION_CODE,LATITUDE,LONGITUDE,LOCATION DESCRIPTION,Location,Decommissioned Camera_Date
RED LIGHT AND SPEED CAMERA,1001,1001,-35.279409999999999,149.12925000000001,NORTHBOURNE AVENUE/LONDON CIRCUIT,"(-35.279409999999999, 149.12925000000001)",
RED LIGHT AND SPEED CAMERA,1002,1002,-35.2761,149.12948,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,"(-35.2761, 149.12948)",
RED LIGHT AND SPEED CAMERA,1004,1004,-35.378869999999999,149.05640099999999,DRAKEFORD DRIVE/BODDINGTON CRESCENT/MARCONI CRESCENT,"(-35.378869999999999, 149.05640099999999)",
RED LIGHT AND SPEED CAMERA,1006,1006,-35.24783,149.13412,NORTHBOURNE AVENUE/ANTILL STREET/MOUAT STREET,"(-35.24783, 149.13412)",
RED LIGHT AND SPEED CAMERA,1007,1007,-35.231079999999999,149.08095,GINNINDERRA DRIVE/AIKMAN DRIVE,"(-35.231079999999999, 149.08095)",
RED LIGHT AND SPEED CAMERA,1008,1008,-35.348300000000002,149.06828400000001,HINDMARSH DRIVE/TUGGERANONG PARKWAY,"(-35.348300000000002, 149.06828400000001)",
RED LIGHT AND SPEED CAMERA,1011,1011,-35.221679999999999,149.06305,GINNINDERRA DRIVE/COULTER DRIVE,"(-35.221679999999999, 149.06305)",
RED LIGHT AND SPEED CAMERA,1020,1020,-35.275500000000001,149.12725,BARRY DRIVE/MARCUS CLARKE STREET,"(-35.275500000000001, 149.12725)",
RED LIGHT AND SPEED CAMERA,1021,1021,-35.350720000000003,149.101271,HINDMARSH DRIVE/YAMBA DRIVE,"(-35.350720000000003, 149.101271)",
RED LIGHT AND SPEED CAMERA,1022,1022,-35.348869999999998,149.085881,HINDMARSH DRIVE/BALL STREET,"(-35.348869999999998, 149.085881)",
RED LIGHT AND SPEED CAMERA,1023,1023,-35.33802,149.17687100000001,CANBERRA AVENUE/HINDMARSH DRIVE/NEWCASTLE STREET,"(-35.33802, 149.17687100000001)",
RED LIGHT AND SPEED CAMERA,1024,1024,-35.319629999999997,149.13577100000001,CANBERRA AVENUE/CAPTAIN COOK CRESCENT/MANUKA CIRCLE,"(-35.319629999999997, 149.13577100000001)",
RED LIGHT AND SPEED CAMERA,1025,1025,-35.186300000000003,149.1191,GUNGAHLIN DRIVE/GUNDAROO DRIVE,"(-35.186300000000003, 149.1191)",
FIXED ONLY SPEED CAMERA,1027,1027,-35.228099999999998,149.12348,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,"(-35.228099999999998, 149.12348)",
FIXED ONLY SPEED CAMERA,1028,1028,-35.390880000000003,149.16222099999999,MONARO HIGHWAY BETWEEN LANYON DRIVE AND SHEPPARD STREET,"(-35.390880000000003, 149.16222099999999)",
FIXED ONLY SPEED CAMERA,1029,1029,-35.402819999999998,149.147581,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,"(-35.402819999999998, 149.147581)",
FIXED ONLY SPEED CAMERA,1030,1030,-35.225670000000001,149.16112000000001,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,"(-35.225670000000001, 149.16112000000001)",
FIXED ONLY SPEED CAMERA,1031,1031,-35.224130000000002,149.16757999999999,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,"(-35.224130000000002, 149.16757999999999)",
FIXED ONLY SPEED CAMERA,1032N,1032,-35.341670000000001,149.162871,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,"(-35.341670000000001, 149.162871)",
FIXED ONLY SPEED CAMERA,1032S,,-35.341679999999997,149.16327100000001,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,"(-35.341679999999997, 149.16327100000001)",
FIXED ONLY SPEED CAMERA,1033N,1033,-35.34778,149.069481,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,"(-35.34778, 149.069481)",
FIXED ONLY SPEED CAMERA,1033S,,-35.347679999999997,149.06965099999999,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,"(-35.347679999999997, 149.06965099999999)",
FIXED ONLY SPEED CAMERA,1034,1034,-35.319299999999998,149.06345999999999,"TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS, NORTHBOUND","(-35.319299999999998, 149.06345999999999)",
FIXED ONLY SPEED CAMERA,1035,1035,-35.31917,149.06371999999999,"TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS, SOUTHBOUND","(-35.31917, 149.06371999999999)",
POINT TO POINT CAMERA,2002/2003,2002,-35.347099999999998,149.10827,HINDMARSH DRIVE WESTBOUND BETWEEN MUGGA LANE AND TYAGARAH STREET,"(-35.347099999999998, 149.10827)",
POINT TO POINT CAMERA,2001/2004,2004,-35.344270000000002,149.13548,HINDMARSH DRIVE EASTBOUND BETWEEN PALMER STREET AND DALRYMPLE STREET,"(-35.344270000000002, 149.13548)",
MOBILE SPEED CAMERA,0001A,0001A,-35.313899999999997,149.09950000000001,"Adelaide Ave & Tourist Drive 5 & Kent St, Deakin ACT 2600, Australia","(-35.313899999999997, 149.09950000000001)",
MOBILE SPEED CAMERA,0001B,0001B,-35.312330000000003,149.10587000000001,"Hopetoun Circuit & Tourist Drive 5 & Adelaide Ave & Tourist Drive 6, Yarralumla ACT 2600, Australia","(-35.312330000000003, 149.10587000000001)",
MOBILE SPEED CAMERA,0001C,0001C,-35.310879999999997,149.11323999999999,"Adelaide Ave, Deakin ACT 2600, Australia","(-35.310879999999997, 149.11323999999999)",
MOBILE SPEED CAMERA,0001D,0001D,-35.31073,149.11328,"Adelaide Ave, Deakin ACT 2600, Australia","(-35.31073, 149.11328)",
MOBILE SPEED CAMERA,0002A,0002A,-35.248640000000002,149.14285000000001,"97 Antill St, Downer ACT 2602, Australia","(-35.248640000000002, 149.14285000000001)",
MOBILE SPEED CAMERA,0002B,0002B,-35.248809999999999,149.14293000000001,"97 Antill St, Downer ACT 2602, Australia","(-35.248809999999999, 149.14293000000001)",
MOBILE SPEED CAMERA,0002C,0002C,-35.248429999999999,149.14535000000001,"121 Antill St, Downer ACT 2602, Australia","(-35.248429999999999, 149.14535000000001)",
MOBILE SPEED CAMERA,0002D,0002D,-35.248550000000002,149.14529999999999,"121 Antill St, Downer ACT 2602, Australia","(-35.248550000000002, 149.14529999999999)",
MOBILE SPEED CAMERA,0002E,0002E,-35.24783,149.14977999999999,"165 Antill St, Downer ACT 2602, Australia","(-35.24783, 149.14977999999999)",
MOBILE SPEED CAMERA,0002E,0002E,-35.247909999999997,149.14975999999999,"165 Antill St, Downer ACT 2602, Australia","(-35.247909999999997, 149.14975999999999)",
MOBILE SPEED CAMERA,0002F,0002F,-35.247959999999999,149.14935,"161 Antill St, Downer ACT 2602, Australia","(-35.247959999999999, 149.14935)",
MOBILE SPEED CAMERA,0002G,0002G,-35.24438,149.15914000000001,"251 Antill St, Watson ACT 2602, Australia","(-35.24438, 149.15914000000001)",
MOBILE SPEED CAMERA,0002H,0002H,-35.241970000000002,149.16217,"293 Antill St, Watson ACT 2602, Australia","(-35.241970000000002, 149.16217)",
MOBILE SPEED CAMERA,0002I,0002I,-35.23236,149.16648000000001,"363 Antill St, Watson ACT 2602, Australia","(-35.23236, 149.16648000000001)",
MOBILE SPEED CAMERA,0002J,0002J,-35.229149999999997,149.16684000000001,"400 Antill St, Watson ACT 2602, Australia","(-35.229149999999997, 149.16684000000001)",
MOBILE SPEED CAMERA,0002K,0002K,-35.231810000000003,149.16679999999999,"363 Antill St, Watson ACT 2602, Australia","(-35.231810000000003, 149.16679999999999)",
MOBILE SPEED CAMERA,0002L,0002L,-35.241059999999997,149.16362000000001,"309 Antill St, Watson ACT 2602, Australia","(-35.241059999999997, 149.16362000000001)",
MOBILE SPEED CAMERA,0002M,0002M,-35.245010000000001,149.15870000000001,"243 Antill St, Watson ACT 2602, Australia","(-35.245010000000001, 149.15870000000001)",
MOBILE SPEED CAMERA,0002N,0002N,-35.248289999999997,149.14927,"170 Antill St, Downer ACT 2602, Australia","(-35.248289999999997, 149.14927)",
MOBILE SPEED CAMERA,0002O,0002O,-35.24812,149.14928,"170 Antill St, Downer ACT 2602, Australia","(-35.24812, 149.14928)",
MOBILE SPEED CAMERA,0002P,0002P,-35.248919999999998,149.14296999999999,"97 Antill St, Downer ACT 2602, Australia","(-35.248919999999998, 149.14296999999999)",
MOBILE SPEED CAMERA,0002Q,0002Q,-35.24879,149.14273,"95 Antill St, Downer ACT 2602, Australia","(-35.24879, 149.14273)",
MOBILE SPEED CAMERA,0003B,0003B,-35.379289999999997,149.09316000000001,"Athllon Dr, Torrens ACT 2607, Australia","(-35.379289999999997, 149.09316000000001)",
MOBILE SPEED CAMERA,0003C,0003C,-35.373899999999999,149.09302,"Athllon Dr, Farrer ACT 2607, Australia","(-35.373899999999999, 149.09302)",
MOBILE SPEED CAMERA,0003D,0003D,-35.373289999999997,149.09272000000001,"Athllon Dr, Torrens ACT 2607, Australia","(-35.373289999999997, 149.09272000000001)",
MOBILE SPEED CAMERA,0003E,0003E,-35.375680000000003,149.09308999999999,"Athllon Dr, Farrer ACT 2607, Australia","(-35.375680000000003, 149.09308999999999)",
MOBILE SPEED CAMERA,0003G,0003G,-35.380319999999998,149.09371999999999,"Athllon Dr, Farrer ACT 2607, Australia","(-35.380319999999998, 149.09371999999999)",
MOBILE SPEED CAMERA,0003H,0003H,-35.380070000000003,149.09397000000001,"Athllon Dr, Farrer ACT 2607, Australia","(-35.380070000000003, 149.09397000000001)",
MOBILE SPEED CAMERA,0004A,0004A,-35.26052,149.09898000000001,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26052, 149.09898000000001)",
MOBILE SPEED CAMERA,0004B,0004B,-35.26032,149.09891999999999,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26032, 149.09891999999999)",
