postcode,suburb,centile,ds,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
200-australian national university,Australian National University,91,70,1,2,ACT,0.8,Post Office Boxes,-35.277272,149.117136,0,0,australian national university,australian national university,ACT,ACT,0
221-barton,Barton,89,68,1,5,ACT,0.89,LVR,-35.201372,149.095065,188,2743.51,barton,barton,ACT,ACT,2023.032841
2540-hmas creswell,Hmas Creswell,73,56,0,101,ACT,0.66,Delivery Area,-35.129878,150.707521,0,0,hmas creswell,hmas creswell,ACT,ACT,0
2540-jervis bay,Jervis Bay,75,58,0,94,ACT,0.69,Delivery Area,-35.127437,150.707149,0,0,jervis bay,jervis bay,ACT,ACT,0
2600-barton,Barton,81,62,1,48,ACT,0.75,Delivery Area,-35.314348,149.137033,188,2743.51,barton,barton,ACT,ACT,2023.032841
2600-canberra,Canberra,85,65,1,23,ACT,0.77,Delivery Area,-35.306768,149.126355,0,0,canberra,canberra,ACT,ACT,0
2600-deakin,Deakin,80,62,1,58,ACT,0.81,Delivery Area,-35.315246,149.108714,303,3020.7,deakin,deakin,ACT,ACT,2966.523303
2600-deakin west,Deakin West,80,62,1,59,ACT,0.78,Delivery Area,-35.326172,149.09186,0,0,deakin west,deakin west,ACT,ACT,0
2600-duntroon,Duntroon,81,62,1,49,ACT,0.78,Delivery Area,-35.303194,149.161688,30,2829.69,duntroon,duntroon,ACT,ACT,313.5109373
2600-harman,Harman,80,62,1,60,ACT,0.8,Delivery Area,-35.344592,149.200009,0,0,harman,harman,ACT,ACT,0
2600-hmas harman,Hmas Harman,77,59,0,84,ACT,0.65,Delivery Area,-35.347094,149.1994,0,0,hmas harman,hmas harman,ACT,ACT,0
2600-parkes,Parkes,74,57,0,97,ACT,0.7,Delivery Area,-35.300114,149.132726,0,0,parkes,parkes,ACT,ACT,0
2600-parliament house,Parliament House,92,71,1,1,ACT,0.87,Delivery Area,-35.308181,149.124434,0,0,parliament house,parliament house,ACT,ACT,0
2600-russell,Russell,84,65,1,31,ACT,0.8,Delivery Area,-35.299321,149.151238,0,0,russell,russell,ACT,ACT,0
2600-yarralumla,Yarralumla,86,66,1,18,ACT,0.72,Delivery Area,-35.30748,149.098252,305,3038.53,yarralumla,yarralumla,ACT,ACT,2963.565653
