postcode,postcode1,suburb,centile,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
200-australian national university,200,australian national university,98,1,1,ACT,0.8,Post Office Boxes,-35.277272,149.117136,0,0,australian national university,australian national university,ACT,ACT,0
221-barton,221,barton,95,1,24,ACT,0.89,LVR,-35.201372,149.095065,1876564,2743.51,barton,barton,ACT,ACT,2023.032841
2540-hmas creswell,2540,hmas creswell,80,1,125,ACT,0.66,Delivery Area,-35.129878,150.707521,0,0,hmas creswell,hmas creswell,ACT,ACT,0
2540-jervis bay,2540,jervis bay,83,1,120,ACT,0.69,Delivery Area,-35.127437,150.707149,0,0,jervis bay,jervis bay,ACT,ACT,0
2600-barton,2600,barton,90,1,53,ACT,0.75,Delivery Area,-35.314348,149.137033,1876564,2743.51,barton,barton,ACT,ACT,2023.032841
2600-canberra,2600,canberra,95,1,25,ACT,0.77,Delivery Area,-35.306768,149.126355,0,0,canberra,canberra,ACT,ACT,0
2600-deakin,2600,deakin,90,1,54,ACT,0.81,Delivery Area,-35.315246,149.108714,3029759.5,3020.7,deakin,deakin,ACT,ACT,2966.523303
2600-deakin west,2600,deakin west,85,1,106,ACT,0.78,Delivery Area,-35.326172,149.09186,0,0,deakin west,deakin west,ACT,ACT,0
2600-duntroon,2600,duntroon,89,1,71,ACT,0.78,Delivery Area,-35.303194,149.161688,299947,2829.69,duntroon,duntroon,ACT,ACT,313.5109373
2600-harman,2600,harman,86,0,100,ACT,0.8,Delivery Area,-35.344592,149.200009,0,0,harman,harman,ACT,ACT,0
2600-hmas harman,2600,hmas harman,85,1,107,ACT,0.65,Delivery Area,-35.347094,149.1994,0,0,hmas harman,hmas harman,ACT,ACT,0
2600-parkes,2600,parkes,84,1,114,ACT,0.7,Delivery Area,-35.300114,149.132726,0,0,parkes,parkes,ACT,ACT,0
2600-parliament house,2600,parliament house,97,1,5,ACT,0.87,Delivery Area,-35.308181,149.124434,0,0,parliament house,parliament house,ACT,ACT,0
2600-russell,2600,russell,90,1,55,ACT,0.8,Delivery Area,-35.299321,149.151238,-,-,russell,russell,ACT,ACT,0
2600-yarralumla,2600,yarralumla,93,1,40,ACT,0.72,Delivery Area,-35.30748,149.098252,3044607.5,3038.53,yarralumla,yarralumla,ACT,ACT,2963.565653
2601-acton,2601,acton,88,1,88,ACT,0.75,Delivery Area,-35.282087,149.108716,-,-,acton,acton,ACT,ACT,0
