zipcode,centile,superzip,rank,city,state,adultpop,households,college,income
2969,99.99999,1,,Memphis,TN,17,5,100%,261.5213
2877,99.99955,1,1,Kenilworth,IL,1581,732,88.87%,261.5213
2900,99.99911,1,,Rockland,DE,46,19,84.78%,261.5213
2521,99.99908,1,,Houston,TX,53,19,83.02%,261.5213
2237,99.99901,1,,Waccabuc,NY,215,83,80.93%,261.5213
2902,99.99741,1,2,Glencoe,IL,5578,2492,80.67%,261.5213
2084,99.99359,1,3,Short Hills,NJ,8347,3692,79.23%,261.5213
2956,99.99129,1,,Yorklyn,DE,40,22,77.50%,261.5213
2680,99.98998,1,4,Atherton,CA,4756,1859,75.63%,261.5213
2706,99.98656,1,5,Chappaqua,NY,7648,3408,79.42%,247.8817
2596,99.98444,1,,Indianapolis,IN,147,60,70.75%,261.5213
2474,99.98431,1,,Miami Beach,FL,308,118,68.18%,261.5213
2273,99.98418,1,,Ardsley on Hudson,NY,108,40,96.30%,212.485
2997,99.98334,1,6,Gladwyne,PA,2962,1057,66.98%,261.5213
2691,99.98116,1,7,Portola Valley,CA,4966,1918,80.59%,237.1163
2550,99.97844,1,8,Rancho Santa Fe,CA,4972,2103,64.70%,261.5213
2440,99.97707,1,,Van Hornesville,NY,5,2,100%,199.1972
2279,99.97706,1,,Pineland,FL,69,24,63.77%,261.5213
2579,99.97501,1,9,Weston,MA,7373,3035,75.10%,236.7292
2140,99.97255,1,10,Purchase,NY,1573,663,69.68%,244.5461
2642,99.96794,1,11,Atlanta,GA,15235,5781,78.19%,228.7738
2218,99.9627,1,12,Villanova,PA,3841,1606,76.72%,228.1906
2475,99.96086,1,13,Boston,MA,2874,592,72.51%,229.9284
2074,99.95969,1,14,Essex Fells,NJ,1427,603,72.53%,229.8748
2704,99.95869,1,15,Old Westbury,NY,2171,869,64.90%,240.9881
2469,99.95459,1,16,New Canaan,CT,12802,5234,71.53%,228.9385
2502,99.95078,1,17,Cross River,NY,1066,486,71.76%,226.6908
2234,99.94816,1,18,Santa Monica,CA,8523,2984,70.47%,227.7617
2170,99.94232,1,19,Darien,CT,12665,5409,70.45%,227.2308
2724,99.93846,1,20,Boca Grande,FL,1432,605,68.65%,227.9212
2263,99.93803,1,,Deer Harbor,WA,116,45,57.76%,246.3035
2014,99.93584,1,21,Los Angeles,CA,7904,2910,70.81%,223.2753
2672,99.93327,1,22,New York,NY,1415,480,82.76%,202.5054
2264,99.93251,1,23,New York,NY,1376,422,84.16%,200.017
2407,99.92861,1,24,Winnetka,IL,12842,5488,75.89%,212.6249
2215,99.92398,1,25,Waban,MA,3980,1677,81.46%,201.9248
2978,99.91901,1,26,Lake Forest,IL,14150,5921,72.71%,216.464
2336,99.91423,1,27,Pound Ridge,NY,3257,1380,70.46%,219.9017
2024,99.91158,1,28,Weston,CT,6403,2836,74.45%,211.873
2962,99.90607,1,29,Los Altos,CA,13683,5376,73.66%,213.161
2126,99.90133,1,30,Dover,MA,3586,1571,77.80%,205.5129
2180,99.89934,1,31,Bedford,NY,3659,1579,70.32%,217.8945
2344,99.89828,1,,Golf,IL,234,100,84.62%,193.0933
2349,99.89806,1,32,Davis,CA,512,207,71.68%,212.4732
2699,99.89487,1,33,Great Falls,VA,11141,4969,73.95%,208.2641
2123,99.89091,1,34,Austin,TX,3322,1384,71.22%,211.7933
2401,99.88544,1,35,Pacific Palisades,CA,16633,6453,70.27%,211.639
2503,99.88034,1,36,Far Hills,NJ,1865,773,65.79%,218.836
2917,99.87912,1,37,Mountain Lakes,NJ,2624,1214,76.11%,200.3596
2733,99.86842,1,38,New York,NY,36366,9188,77.74%,197.1168
2636,99.85757,1,39,Carlisle,MA,3146,1406,83.41%,186.1369
2674,99.85355,1,40,Wilton,CT,11515,4858,70.73%,207.1434
2132,99.84606,1,41,Houston,TX,15746,5882,77.12%,195.4404
2585,99.83436,1,42,New York,NY,26893,6274,71.96%,203.5842
2304,99.82313,1,43,Dallas,TX,14008,5478,74.98%,197.7889
2356,99.81815,1,44,Newport Coast,CA,4152,1547,74.06%,198.9749
2639,99.81531,1,45,Charlotte,NC,6204,2047,73.29%,199.0939
2665,99.78984,1,46,New York,NY,86540,20928,75.28%,195.3123
2135,99.76263,1,47,Palo Alto,CA,12646,3721,76.50%,192.7115
2551,99.75737,1,48,Briarcliff Manor,NY,6431,2629,70.75%,202.1628
2006,99.75265,1,49,Bethesda,MD,10854,4319,79.94%,186.1499
2293,99.74097,1,50,Potomac,MD,31674,13537,76.27%,192.365
2678,99.7291,1,51,Larchmont,NY,11598,4708,70.98%,200.6251
2481,99.72389,1,52,Saint Louis,MO,7345,2789,65.57%,209.3141
2636,99.71784,1,53,Dallas,TX,14723,4968,73.01%,196.4277
2409,99.7132,1,54,Medina,WA,2129,901,72.99%,196.3597
2473,99.70547,1,55,Scarsdale,NY,26102,10873,70.37%,200.2341
2586,99.69759,1,56,Norwalk,CT,2599,980,68.91%,201.5783
2484,99.69196,1,57,Westport,CT,17889,7182,69.49%,200.2341
2274,99.687,1,,Mount Freedom,NJ,189,86,71.43%,196.14
2801,99.68106,1,58,Saratoga,CA,21476,8815,67.86%,201.2985
2216,99.67262,1,59,Wellesley Hills,MA,9273,3866,79.52%,180.2932
2974,99.67003,1,,Glen Echo,MD,162,62,84.57%,171.548
2303,99.66962,1,60,Cabin John,MD,1325,530,77.21%,183.2379
2760,99.66657,1,61,Los Gatos,CA,9795,3460,67.34%,199.6195
2836,99.65833,1,62,McLean,VA,20232,8190,75.64%,185.0267
2555,99.64854,1,63,Los Altos,CA,15378,6376,72.13%,190.6952
2730,99.63944,1,64,Washington,DC,17804,4295,83.07%,171.5035
2907,99.63454,1,,Montchanin,DE,26,8,30.77%,261.5213
2527,99.63304,1,65,New York,NY,5422,1613,78.27%,179.0758
2789,99.62926,1,66,Roslyn,NY,8374,3533,67.16%,196.4878
2925,99.62091,1,67,Washington,DC,22077,6355,78.67%,174.9843
2758,99.61266,1,68,Montclair,NJ,7984,3233,73.57%,183.557
2853,99.60468,1,69,Chevy Chase,MD,21067,7353,78.72%,174.3135
2064,99.59756,1,70,Old Greenwich,CT,4833,2019,72.05%,185.5327
2180,99.59599,1,71,Boston,MA,909,184,76.68%,176.6097
2920,99.59519,1,72,Gates Mills,OH,2055,872,63.94%,198.4701
2908,99.59162,1,73,Princeton Junction,NJ,10947,4896,73.65%,181.6819
2854,99.5876,1,74,Lincoln,MA,3659,1489,76.93%,175.9637
2593,99.58385,1,75,Alamo,CA,10035,4350,63.57%,198.9461
2078,99.58034,1,76,Sherborn,MA,2728,1233,75.62%,178.1095
2084,99.5659,1,77,New York,NY,49837,12623,73.93%,180.6685
2181,99.54959,1,78,Oakton,VA,9621,3951,72.81%,182.0898
2885,99.54424,1,79,Belvedere Tiburon,CA,9915,3669,69.66%,187.3856
2386,99.52798,1,80,Chicago,IL,49266,10767,78.40%,172.2109
2393,99.51097,1,81,Danville,CA,12731,5664,65.07%,195.0508
2031,99.50655,1,82,Skillman,NJ,3355,1443,69.96%,186.5095
2652,99.50485,1,83,Ho Ho Kus,NJ,2776,1192,68.34%,189.0633
2894,99.50142,1,84,New Rochelle,NY,9745,4033,70.02%,186.0231
2023,99.49184,1,85,Bethesda,MD,25142,10177,77.43%,172.4267
2502,99.48149,1,86,Orinda,CA,12604,5358,74.54%,175.3439
2634,99.47478,1,87,Manhasset,NY,11864,4789,63.16%,194.5316
2613,99.46548,1,88,Washington,DC,21998,4687,81.58%,162.3242
2237,99.4581,1,89,Chicago,IL,4918,1318,71.31%,179.8721
2494,99.45113,1,90,San Francisco,CA,20475,4020,74.45%,174.2181
2678,99.44225,1,91,Fairfax Station,VA,11824,5395,68.79%,183.5988
2292,99.43877,1,92,Millwood,NY,825,349,70.91%,179.0444
2771,99.43828,1,93,New York,NY,1020,221,75.98%,170.2587
2944,99.43073,1,94,Los Angeles,CA,26487,7837,70.03%,180.3769
2433,99.42176,1,95,Mendham,NJ,6166,2565,67.56%,184.5259
2443,99.41657,1,96,Paradise Valley,AZ,12735,5188,64.68%,189.4595
2297,99.41306,1,,Rex,NC,27,16,22.22%,261.5213
2869,99.40857,1,97,Beverly Hills,CA,16357,5773,55.46%,203.4443
2191,99.3998,1,98,Vienna,VA,15588,6486,72.90%,173.2949
2194,99.39265,1,99,Chesterfield,MO,10435,4721,66.51%,183.438
2878,99.38902,1,100,New York,NY,2814,563,56.89%,199.7137
2357,99.38821,1,,Durham,NC,97,42,65.98%,184.0526
2378,99.38691,1,101,Armonk,NY,4651,2029,60.65%,193.1718
2598,99.38238,1,102,Washington,DC,11879,3530,68.41%,179.7545
2120,99.37699,1,103,Oak Brook,IL,7761,2741,54.59%,202.6061
2442,99.37475,1,,Houston,TX,423,121,74.23%,168.7549
2587,99.37325,1,104,Riverside,CT,5044,2087,65.07%,184.1755
2437,99.36956,1,105,Berkeley,CA,8386,2910,81.58%,155.6894
2796,99.36631,1,106,Overland Park,KS,3446,1678,72.66%,171.0249
2692,99.36517,1,107,New York,NY,703,119,74.68%,167.2303
2269,99.36043,1,108,Austin,TX,16567,6922,75.54%,165.7291
2687,99.35277,1,109,Rye,NY,11312,4488,68.06%,178.2036
2023,99.3467,1,110,Sudbury,MA,10824,4836,71.89%,170.5097
2140,99.34042,1,111,Bloomfield Hills,MI,12025,4926,65.59%,180.6946
2314,99.33241,1,112,Atlanta,GA,17148,4424,69.33%,173.9775
2425,99.3258,1,113,Wellesley,MA,6955,2688,71.04%,170.9661
2583,99.32334,1,114,Cold Spring Harbor,NY,1994,859,66.15%,179.0039
2824,99.32156,1,115,Houston,TX,4507,2179,73.97%,164.4372
2364,99.32031,1,,Hibernia,NJ,47,24,68.09%,174.3789
2544,99.31781,1,116,Berkeley,CA,9059,3332,79.98%,153.7973
2271,99.31499,1,117,Boston,MA,1246,309,76.73%,159.1598
2094,99.31451,1,,Garrett Park,MD,429,178,77.62%,156.0267
2551,99.3144,1,,Bryn Athyn,PA,51,20,82.35%,147.105
2776,99.31192,1,118,San Marino,CA,8927,3789,70.25%,167.7952
2114,99.30789,1,119,Wilmington,DE,5755,2164,65.40%,176.0853
2209,99.29218,1,120,New York,NY,51494,11604,73.32%,162.0156
2413,99.27712,1,121,Washington,DC,3352,374,83.74%,143.8242
2869,99.2753,1,122,Harvard,MA,3313,1457,75.85%,157.0009
2470,99.26969,1,123,Basking Ridge,NJ,17129,6477,66.86%,172.1037
2417,99.25861,1,124,Chicago,IL,23272,5584,73.46%,160.4883
2264,99.24898,1,125,Newton Center,MA,11790,4518,73.54%,160.147
2869,99.24465,1,126,Merion Station,PA,3951,1526,76.69%,154.3151
